date,open,close,high,low,volume
2022-08-05,5080.5,5142.27,5145.28,5068.82,686962218.0
2022-08-08,5130.08,5169.24,5169.58,5121.99,638500892.0
2022-08-09,5164.13,5184.38,5185.38,5148.4,643179743.0
2022-08-10,5173.95,5158.4,5193.82,5136.08,646165044.0
2022-08-11,5181.76,5245.26,5245.26,5169.13,748204866.0
2022-08-12,5237.29,5228.89,5256.13,5227.66,746195185.0
2022-08-15,5217.93,5241.73,5256.76,5211.51,702342556.0
2022-08-16,5247.28,5254.11,5278.88,5240.06,745623184.0
2022-08-17,5260.19,5284.56,5290.78,5229.2,792336980.0
2022-08-18,5272.48,5265.72,5274.56,5251.36,757608270.0
2022-08-19,5263.43,5209.72,5275.37,5209.72,806747246.0
2022-08-22,5194.07,5250.74,5250.74,5184.04,733651164.0
2022-08-23,5241.73,5245.85,5255.9,5225.29,724933782.0
2022-08-24,5252.4,5110.53,5254.58,5105.11,850951335.0
2022-08-25,5125.53,5127.57,5133.74,5056.48,748863395.0
2022-08-26,5138.31,5109.44,5168.26,5101.83,684537215.0
2022-08-29,5047.31,5112.72,5112.72,5039.17,645750637.0
2022-08-30,5112.1,5089.1,5116.32,5064.03,657464500.0
2022-08-31,5069.64,5017.15,5082.53,4993.43,753374776.0
2022-09-01,5009.88,4983.7,5043.93,4976.97,622097613.0
2022-09-02,4994.63,4994.81,5011.35,4972.08,580417114.0
2022-09-05,4986.3,4999.18,5004.05,4963.14,604601039.0
2022-09-06,5011.51,5066.94,5066.94,4996.97,679261641.0
2022-09-07,5047.23,5080.88,5094.79,5040.6,677044545.0
2022-09-08,5083.59,5048.68,5088.09,5045.39,636910336.0
2022-09-09,5058.8,5087.47,5091.76,5043.48,623355279.0
2022-09-13,5106.02,5097.08,5114.82,5083.59,604672210.0
2022-09-14,5027.34,5044.05,5066.5,5015.41,568112608.0
2022-09-15,5063.38,4951.87,5067.44,4907.51,722476796.0
2022-09-16,4936.67,4836.37,4940.48,4836.37,668537734.0
2022-09-19,4830.28,4808.79,4853.66,4784.84,541063485.0
2022-09-20,4834.29,4842.25,4870.46,4826.78,508613696.0
2022-09-21,4827.93,4828.52,4849.15,4779.09,532955370.0
2022-09-22,4795.01,4803.13,4846.7,4788.89,511612471.0
2022-09-23,4799.91,4750.71,4817.13,4717.14,545856355.0
2022-09-26,4716.83,4705.37,4784.1,4699.2,548785142.0
2022-09-27,4717.16,4788.62,4788.62,4703.37,517416126.0
2022-09-28,4776.87,4680.74,4776.87,4680.74,517979489.0
2022-09-29,4723.74,4676.93,4733.21,4652.77,509737503.0
2022-09-30,4677.83,4631.68,4695.76,4631.68,451835833.0
2022-10-10,4637.71,4537.69,4641.32,4527.8,507545969.0
2022-10-11,4547.45,4559.23,4573.27,4512.33,454862032.0
2022-10-12,4555.17,4655.92,4655.92,4484.65,557997598.0
2022-10-13,4627.38,4651.48,4690.71,4619.67,564991787.0
