model,n,exact_n,interval_mae,exact_mae,exact_within_0.1,slope
linear:log_close,243,238,0.05092707295884944,0.05148176742012558,0.8991596638655462,-4.161470242431516
linear:close,243,238,0.0866020866870016,0.08801836715751887,0.6092436974789915,-0.0009054620943950211
isotonic:log_close,243,238,0.12203433316637728,0.12445130825484325,0.6008403361344538,
isotonic:close,243,238,0.12203437307382116,0.1244513490006788,0.6008403361344538,
linear:close_to_ma250,243,238,0.2268984051103907,0.2270195501327402,0.2815126050420168,-3.1084399532151714
linear:drawdown_252,243,238,0.24211973787174873,0.24465490604151632,0.3277310924369748,-3.884310321909891
linear:rank_500,243,238,0.24729946287135746,0.24694778997677735,0.0546218487394958,-0.9996445760122168
isotonic:rank_500,243,238,0.29651486526034293,0.29969579137079505,0.3739495798319328,
isotonic:close_to_ma250,243,238,0.32166890215033533,0.3249178870658422,0.31512605042016806,
