date,star,star_low,star_high,status
2025-01-02,5.2,5.2,5.2,exact
2025-01-03,5.2,5.2,5.2,exact
2025-01-06,,5.2,5.3,range
2025-01-07,5.2,5.2,5.2,exact
2025-01-08,5.2,5.2,5.2,exact
2025-01-09,5.2,5.2,5.2,exact
2025-01-10,5.3,5.3,5.3,exact
2025-01-13,5.3,5.3,5.3,exact
2025-01-14,5.2,5.2,5.2,exact
2025-01-15,5.2,5.2,5.2,exact
2025-01-16,5.2,5.2,5.2,exact
2025-01-17,,5.1,5.2,range
2025-01-20,5.1,5.1,5.1,exact
2025-01-21,5.1,5.1,5.1,exact
2025-01-22,5.2,5.2,5.2,exact
2025-01-23,5.2,5.2,5.2,exact
2025-01-24,5.2,5.2,5.2,exact
2025-01-27,5.3,5.3,5.3,exact
2025-02-04,,,,unresolved
2025-02-05,5.2,5.2,5.2,exact
2025-02-06,5.1,5.1,5.1,exact
2025-02-07,5.0,5.0,5.0,exact
2025-02-10,5.0,5.0,5.0,exact
2025-02-11,4.9,4.9,4.9,exact
2025-02-12,4.9,4.9,4.9,exact
2025-02-13,4.9,4.9,4.9,exact
2025-02-14,4.9,4.9,4.9,exact
2025-02-17,,4.9,5.0,range
2025-02-18,4.9,4.9,4.9,exact
2025-02-19,4.9,4.9,4.9,exact
2025-02-20,4.9,4.9,4.9,exact
2025-02-21,4.8,4.8,4.8,exact
2025-02-24,4.8,4.8,4.8,exact
2025-02-25,4.8,4.8,4.8,exact
2025-02-26,4.8,4.8,4.8,exact
2025-02-27,4.8,4.8,4.8,exact
2025-02-28,4.8,4.8,4.8,exact
2025-03-03,4.8,4.8,4.8,exact
2025-03-04,4.8,4.8,4.8,exact
2025-03-05,4.8,4.8,4.8,exact
2025-03-06,4.9,4.9,4.9,exact
2025-03-07,4.9,4.9,4.9,exact
2025-03-10,4.9,4.9,4.9,exact
2025-03-11,4.9,4.9,4.9,exact
2025-03-12,4.9,4.9,4.9,exact
2025-03-13,4.8,4.8,4.8,exact
2025-03-14,4.8,4.8,4.8,exact
2025-03-17,4.8,4.8,4.8,exact
2025-03-18,4.8,4.8,4.8,exact
2025-03-19,4.8,4.8,4.8,exact
